,make,model,price,total_weight,motor_nominal_output,estimated_min_range,estimated_max_range,battery_watt_hours
256,Riese&amp;Müller,CultureGTVario,6289.0,71.2,250.0,30.0,85.0,482.4
257,BULLS,STURMVOGELEVOStreet,3999.0,58.2,250.0,35.0,100.0,647.5
258,Velec,R48,2299.0,65.5,500.0,25.0,55.0,528.0
259,BULLS,CrossLiteEVO,4399.0,49.9,250.0,30.0,85.0,482.4
260,Riese&amp;Müller,Load75TouringHS,8329.0,85.0,350.0,30.0,160.0,482.4
261,Optibike,R15CCarbonFiber,13900.0,66.5,1650.0,50.0,100.0,1534.0
262,EccoBike,Nashorn,1649.0,66.5,750.0,15.0,30.0,624.0
263,Riese&amp;Müller,NevoGXRohloff,7099.0,62.5,250.0,30.0,160.0,482.4
264,Trivel,E-Azteca,3695.0,78.5,350.0,20.0,45.0,499.2
265,CIVIBIKES,Cheetah,2299.0,75.8,750.0,20.0,50.0,624.0
266,Riese&amp;Müller,HomageGTTouringHS,6759.0,73.6,350.0,30.0,160.0,482.4
267,AddMotoR,MOTANM-560,1699.0,68.0,500.0,15.0,30.0,499.2
268,CIVIBIKES,Rebel1.0,1299.0,60.0,500.0,15.0,30.0,624.0
269,EVELO,DeltaX,3999.0,64.7,750.0,20.0,45.0,556.8
270,Fantic,XF1IntegraEnduro160,6490.0,55.0,250.0,35.0,90.0,630.0
271,CIVIBIKES,Predator,1399.0,62.4,500.0,15.0,30.0,624.0
272,CUBE,ReactionHybridPro500,3399.0,52.8,250.0,30.0,85.0,482.4
273,Raleigh,RetroglideiE,2374.0,54.9,350.0,20.0,50.0,417.6
274,E-Lux,Sierra,1599.0,61.5,500.0,25.0,50.0,504.0
275,CUBE,TouringHybridPro400,3399.0,52.0,250.0,40.0,90.0,396.0
276,ArielRider,W-Class,1799.0,64.3,500.0,35.0,85.0,844.8
277,IZIP,E3Vida,2749.0,47.0,250.0,38.0,88.0,396.0
278,EVELO,Compass,3299.0,85.5,500.0,20.0,45.0,556.8
279,Fantic,Gravel-X,4290.0,48.0,250.0,45.0,90.0,416.1
280,Motiv,Werks,2995.0,59.0,700.0,25.0,60.0,768.0
281,Optibike,RockyMountainCommuter,3995.0,54.2,500.0,20.0,60.0,429.2
282,Propella,2.27-Speed,1299.0,37.6,250.0,15.0,35.0,244.8
283,EVELO,Aurora,2999.0,64.3,500.0,25.0,45.0,499.2
284,SONDORS,FoldSport,999.0,55.1,350.0,20.0,40.0,313.2
285,EasyMotion,AtomDiamondWavePro,2999.0,59.3,250.0,40.0,85.0,604.8
286,EasyMotion,RebelLynx5.527.5+PW-X,4999.0,51.2,250.0,48.0,65.0,489.6
287,OHM,City,2999.0,55.3,350.0,30.0,75.0,556.8
288,ArielRider,C-Class,1699.0,66.2,500.0,30.0,70.0,604.8
289,IZIP,E3Moda,2999.0,52.8,350.0,30.0,60.0,496.8
290,Blix,Sol,1599.0,48.9,350.0,20.0,55.0,396.0
291,PureCycles,Volta8-Speed,1999.0,37.9,250.0,10.0,25.0,243.6
292,Gazelle,NLC7HMB,2499.0,62.8,250.0,40.0,100.0,482.4
293,Trek,Powerfly7LT,5499.0,52.3,250.0,30.0,80.0,482.4
294,Haibike,XDUROAllMtn8.0,5000.0,52.3,250.0,48.0,108.0,489.6
295,Gazelle,CityZenSpeedT10,2999.0,54.6,350.0,40.0,85.0,482.4
296,M2SBikes,AllTerrainUltra,2950.0,74.2,750.0,20.0,60.0,696.0
297,Amego,Freedom,1349.0,51.2,350.0,20.0,55.0,480.0
298,Moustache,Samedi28.3Open,3399.0,56.0,250.0,30.0,75.0,482.4
299,Raleigh,LoreiE,3499.0,49.6,350.0,25.0,65.0,482.4
300,ElectricBikeCompany,2018ModelC,1950.0,69.2,500.0,20.0,120.0,556.8
301,Raleigh,VentureiE,2499.0,47.0,250.0,38.0,88.0,396.0
302,EasyMotion,RebelGravel-XPW,3399.0,42.0,250.0,40.0,105.0,396.0
303,Velec,R48M,3399.0,68.0,350.0,25.0,65.0,528.0
304,IZIP,E3PeakDS,3999.0,52.4,250.0,26.0,85.0,482.4
305,Pedego,CityCommuterMidDrive,2995.0,62.8,500.0,25.0,80.0,480.0
306,Trek,SuperCommuter+7,3599.0,51.7,250.0,30.0,90.0,482.4
307,M2SBikes,AllTerrainR750,1750.0,69.2,750.0,20.0,60.0,768.0
308,ArielRider,M-Class,1599.0,47.5,500.0,25.0,75.0,556.8
309,HillTopper,FolderMTB,1199.0,49.2,350.0,15.0,60.0,396.0
310,Blix,Vika+,1649.0,49.6,350.0,20.0,55.0,396.0
311,Gazelle,ArroyoC8HMB,3499.0,57.8,250.0,40.0,100.0,482.4
312,eProdigy,MagicPro,2999.0,57.5,750.0,30.0,70.0,696.0
313,AddMotoR,MOTANM-60,1599.0,64.1,500.0,15.0,30.0,499.2
314,Espin,Flow,1888.0,53.9,350.0,20.0,50.0,417.6
315,Focus,SAM²,5999.0,49.9,250.0,20.0,50.0,378.0
316,Faraday,PorteurSCivicEdition,3499.0,40.8,250.0,20.0,25.0,298.0
317,CUBE,StereoRace160Pro50027.5,5999.0,53.2,250.0,25.0,115.0,482.4
318,Gocycle,GS,2799.0,37.4,500.0,18.0,50.0,291.6
319,Surface604,Colt,1799.0,55.7,500.0,25.0,60.0,499.2
320,Blix,VikaTravel,1499.0,40.3,250.0,10.0,40.0,316.8
321,HillTopper,CityUltra,1199.0,45.4,350.0,30.0,60.0,396.0
322,Amego,Elevate,1949.0,56.4,500.0,30.0,65.0,624.0
323,Haibike,SDUROTrekking4.0,2500.0,55.5,250.0,40.0,105.0,396.0
324,Velec,A2,1699.0,55.6,350.0,20.0,60.0,400.0
325,PureCycles,VoltaSingleSpeed,1999.0,36.4,250.0,10.0,25.0,243.6
326,Trivel,E-FatAzteca,3895.0,86.5,500.0,18.0,40.0,499.2
327,AddMotoR,MOTANM-350,2599.0,82.2,500.0,15.0,35.0,499.2
328,EasyMotion,RebelCrossLitePW,2799.0,49.4,250.0,40.0,105.0,396.0
329,IZIP,E3Zuma,1899.0,51.3,350.0,20.0,50.0,417.6
330,Surface604,Shred,1899.0,57.3,500.0,20.0,45.0,499.2
331,BESV,TRB1AM,4999.0,60.3,250.0,45.0,115.0,762.3
332,Pedego,Elevate,5495.0,51.1,250.0,30.0,60.0,504.0
333,DJBikes,DJCityBike,1399.0,58.9,500.0,20.0,35.0,624.0
334,BESV,TRS1,6499.0,41.8,250.0,30.0,60.0,504.0
335,ElectricBikeCompany,ModelS,1899.0,60.6,500.0,20.0,80.0,480.0
336,EcoMotion,Toure-Road,1299.0,44.6,350.0,22.0,52.0,374.4
337,Raleigh,TamlandiE,4749.0,46.3,350.0,30.0,60.0,496.8
338,DJBikes,DJMountainBike,1399.0,55.0,500.0,20.0,35.0,624.0
339,MoustacheBikes,Lundi26.1,3350.0,52.5,250.0,25.0,65.0,295.2
340,Stromer,ST5,9999.0,66.5,700.0,40.0,112.0,983.0
341,Blix,Aveny,1899.0,52.3,350.0,20.0,60.0,396.0
342,Surface604,Rook,1799.0,56.6,500.0,25.0,60.0,499.2
343,Pedego,CityCommuterBlackEdition,3795.0,61.2,500.0,25.0,70.0,480.0
344,Haibike,UrbanPlus,3599.0,59.2,500.0,40.0,75.0,489.6
345,AddMotoR,MOTANM-5800,2699.0,67.0,1000.0,20.0,30.0,840.0
346,BULLS,CROSSE8,3199.0,56.4,250.0,37.0,118.0,482.4
347,Electra,LoftGo!8i,2799.0,58.3,250.0,25.0,100.0,396.0
348,Surface604,BoarE750Hunter,2199.0,66.5,750.0,25.0,45.0,499.2
349,Amego,2018Infinite,1999.0,59.1,500.0,30.0,65.0,624.0
350,Coboc,ONESoho,5520.0,30.2,250.0,30.0,55.0,352.0
351,JuicedBikes,RipCurrentS,1699.0,70.9,750.0,30.0,110.0,624.0
352,Haibike,RadiusTour,3000.0,49.2,250.0,53.0,128.0,489.6
353,AddMotoR,HithotH1,1699.0,53.7,500.0,20.0,30.0,499.2
354,iGOElectric,Elite,1799.0,61.5,500.0,30.0,55.0,624.0
355,EnzoeBikes,2018FoldingElectricBike,1699.0,49.5,350.0,20.0,40.0,374.4
356,Desiknio,SingleSpeedUrban,4415.0,28.9,250.0,30.0,50.0,250.0
357,Riese&amp;Müller,SuperchargerGTTouring,5660.0,68.5,250.0,55.0,200.0,964.8
358,BULLS,CROSSMOVERSPEED,3999.0,53.6,250.0,37.0,92.0,482.4
359,Moustache,Friday27.5,3999.0,57.4,250.0,25.0,70.0,482.4
360,EVELO,QuestMax,2899.0,50.8,350.0,20.0,40.0,367.2
361,Propella,V2.0Single-Speed,1199.0,34.2,250.0,15.0,35.0,244.8
362,Populo,LiftV2,1399.0,48.9,250.0,20.0,35.0,313.2
363,BULLS,E-STREAMEVOAM4,5399.0,54.9,250.0,50.0,130.0,647.5
364,Schwinn,Constance,2499.0,51.3,250.0,25.0,60.0,417.6
365,Populo,SportV3,999.0,37.2,250.0,20.0,35.0,313.2
366,XingTechnologies,Zycle,1499.0,43.5,250.0,12.0,25.0,237.6
367,Trek,Verve+,2299.0,45.6,250.0,38.0,88.0,396.0
368,BULLS,URBANEVO,4399.0,51.3,250.0,37.0,92.0,482.4
369,Riese&amp;Müller,Mountain,6389.0,54.6,350.0,25.0,75.0,482.4
370,BULLS,SIX50EVOAM4,7399.0,56.9,350.0,25.0,70.0,482.4
371,FLX,Roadster,1799.0,45.8,350.0,20.0,45.0,468.0
372,Moustache,Samedi27Trail8,5700.0,52.5,350.0,25.0,65.0,482.4
373,Riese&amp;Müller,Packster40NuVinci,6369.0,75.2,350.0,25.0,75.0,482.4
374,BULLS,LACUBAEVOE45S,3899.0,55.6,350.0,50.0,130.0,647.5
375,FLX,Trail,1899.0,50.3,350.0,20.0,45.0,468.0
376,BULLS,E-COREDi2FS27.5+,5999.0,53.6,250.0,30.0,60.0,504.0
377,Moustache,Samedi27XROAD5,3799.0,56.3,350.0,25.0,70.0,482.4
378,Riese&amp;Müller,NevoGHNuVinci,4979.0,61.6,350.0,25.0,75.0,482.4
379,Riese&amp;Müller,NevoGHNuVinci,4979.0,61.6,350.0,25.0,75.0,482.4
380,BULLS,LACUBAEVOE8,3799.0,56.8,350.0,50.0,130.0,647.5
381,Fuji,Ambient27.5+1.3,3999.0,47.5,250.0,25.0,115.0,482.4
382,FLXBike,Blade,3999.0,58.8,1000.0,30.0,90.0,840.0
383,Magnum,Metro+,1999.0,59.2,500.0,30.0,60.0,624.0
384,BULLS,MONSTEREFS,5499.0,55.8,350.0,25.0,70.0,482.4
385,Schwinn,Monroe350,1499.0,45.5,350.0,25.0,55.0,504.0
386,Gazelle,AvenueC8,2999.0,52.5,250.0,40.0,70.0,504.0
387,Specialized,TurboLevoCompFat,5000.0,52.3,250.0,25.0,50.0,460.0
388,Riese&amp;Müller,RoadsterMixteTouring,3879.0,48.3,350.0,25.0,75.0,482.4
389,BULLS,SIX50EVOAM3,5499.0,55.5,350.0,25.0,70.0,482.4
390,GenZe,200Series,1899.0,49.9,350.0,15.0,35.0,345.6
391,RadPowerBikes,RadBurro,5500.0,220.0,750.0,40.0,80.0,2520.0
392,CUBE,TouringHybridPro500,3199.0,54.5,250.0,25.0,115.0,482.4
393,Riese&amp;Müller,Delite25,11099.0,68.3,350.0,50.0,140.0,964.8
394,RadPowerBikes,2018RadCityStep-Thru,1499.0,63.3,750.0,25.0,45.0,672.0
395,RadPowerBikes,2018RadMini,1499.0,63.7,750.0,22.0,42.0,672.0
396,RadPowerBikes,2018RadCity,1499.0,61.0,750.0,25.0,45.0,672.0
397,RadPowerBikes,2018RadRover,1499.0,66.5,750.0,22.0,42.0,672.0
398,RadPowerBikes,2018RadWagon,1599.0,72.0,750.0,25.0,45.0,672.0
399,RadPowerBikes,2018RadWagon,1599.0,72.0,750.0,25.0,45.0,672.0
400,Revolve,SteadyEddieTricycle,1200.0,81.0,350.0,20.0,40.0,360.0
401,BULLS,CRUISERE,3299.0,55.9,250.0,37.0,118.0,482.4
402,Moustache,Samedi27X2,6699.0,68.2,250.0,50.0,230.0,964.8
403,EnzoeBikes,LiteFoldingElectricBike,1399.0,50.2,350.0,15.0,30.0,313.2
404,Junto,Gen1,2222.0,48.9,350.0,30.0,60.0,556.8
405,Fuji,E-TraverseClassic+,2799.0,49.3,250.0,35.0,90.0,396.0
406,Schwinn,Monroe250,1199.0,42.3,250.0,20.0,45.0,417.6
407,Flash,V1Bike,1999.0,45.7,500.0,20.0,35.0,417.6
408,BULLS,AMINGATR1,4299.0,53.0,350.0,25.0,70.0,482.4
409,BULLS,TWENTY4E,2899.0,45.3,250.0,37.0,118.0,482.4
410,EmazingBike,Selene73h3h,2000.0,48.5,350.0,18.0,55.0,313.2
411,PIM(PowerInMotion),Archer,1795.0,57.0,750.0,20.0,30.0,384.0
412,Magnum,Peak,1999.0,57.5,500.0,30.0,60.0,624.0
413,Specialized,TurboComo2.0,2600.0,47.6,250.0,25.0,60.0,460.0
414,Populo,Scout,1699.0,54.6,350.0,27.0,50.0,468.0
415,Tern,GSD,3999.0,67.7,250.0,30.0,75.0,396.0
416,LithiumCycles,Super73,3000.0,74.5,750.0,20.0,35.0,556.8
417,Haibike,2017XDUROAllMtn8.0,6999.0,50.5,350.0,25.0,55.0,482.4
418,Focus,JAM²PlusPro,5999.0,46.3,250.0,20.0,50.0,378.0
419,Focus,BOLD²Plus,4899.0,44.1,250.0,20.0,50.0,378.0
420,VintageElectric,Scrambler,6995.0,80.7,750.0,20.0,40.0,702.0
421,Focus,Jarifa27Donna,2799.0,48.6,350.0,20.0,65.0,396.0
422,EmazingBike,Coeus73h3h,1800.0,44.9,350.0,18.0,55.0,313.2
423,EVELO,GalaxyST,3499.0,57.9,350.0,25.0,55.0,468.0
424,Haibike,SDUROHardFour4.0,2599.0,44.0,250.0,25.0,60.0,396.0
425,Focus,Jarifa29,2799.0,50.5,250.0,20.0,75.0,396.0
426,Gazelle,CityZenT10,2999.0,49.2,250.0,25.0,115.0,482.4
427,e-Joe,EpikSE,1599.0,51.5,500.0,25.0,50.0,480.0
428,OHM,Mountain,3455.0,51.1,500.0,25.0,70.0,556.8
429,OHM,Mountain,3455.0,51.1,500.0,25.0,70.0,556.8
430,Raleigh,TristariE,2599.0,85.4,350.0,20.0,40.0,422.4
431,CUBE,CrossHybridPro400,2599.0,50.4,250.0,20.0,60.0,396.0
432,EVELO,QuestOne,1999.0,41.1,250.0,20.0,40.0,367.2
433,Gazelle,2017ArroyoC8HMB,3499.0,58.7,250.0,25.0,115.0,482.4
434,Haibike,SDUROHardNine4.0,2599.0,47.61,250.0,20.0,70.0,417.6
435,JuicedBikes,CrossCurrentS,1699.0,57.4,650.0,35.0,100.0,614.4
436,Ness,Rua,1395.0,52.2,200.0,25.0,45.0,546.0
437,Trek,CrossRip+,4499.0,45.8,250.0,18.0,92.0,482.4
438,EVELO,Delta,3499.0,57.4,750.0,20.0,40.0,556.8
439,EmazingBike,Artemis73h3h,2000.0,49.0,350.0,18.0,55.0,313.2
440,CUBE,ReactionHybridHPARace500,3399.0,46.0,250.0,25.0,115.0,482.4
441,VoltBike,Elegant,1299.0,55.6,500.0,20.0,45.0,499.2
442,Magnum,Cruiser,2099.0,59.2,500.0,30.0,60.0,624.0
443,Trek,DualSport+,2999.0,43.0,250.0,30.0,50.0,417.6
444,EVELO,GalaxyST,3499.0,58.8,350.0,25.0,55.0,468.0
445,Felt,SportE85-HP,3799.0,45.8,350.0,20.0,40.0,396.0
446,OHM,Sport,3959.0,56.5,500.0,25.0,70.0,556.8
447,CUBE,EllyRideHybrid400,2999.0,55.7,250.0,35.0,90.0,396.0
448,Ness,Icon,1395.0,51.5,200.0,25.0,45.0,546.0
449,VintageElectric,Cafe,3995.0,56.2,750.0,20.0,60.0,499.2
450,EmazingBike,Apollo93h3h,2000.0,43.1,350.0,15.0,50.0,313.2
451,Felt,ToteM,3999.0,58.5,250.0,30.0,50.0,417.6
452,Magnum,Metro,1999.0,58.4,500.0,30.0,60.0,624.0
453,BULLS,CROSSE,2799.0,59.2,250.0,40.0,130.0,482.4
454,OHM,Urban,3599.0,55.7,500.0,25.0,70.0,556.8
455,CUBE,ReactionHybridHPASL500,3799.0,48.0,250.0,25.0,115.0,482.4
456,CERO,One,3399.0,56.3,250.0,35.0,90.0,504.0
457,Electra,TownieCommuteGo!8i,2999.0,57.8,250.0,25.0,65.0,396.0
458,Trek,Neko+,2999.0,42.5,250.0,30.0,50.0,417.6
459,Riese&amp;Müller,NevoNuVinci,4599.0,59.8,250.0,25.0,75.0,482.4
460,BULLS,E-STREAMEVOFS227.5Plus,4099.0,55.1,250.0,50.0,130.0,647.5
461,Oyama,XCE8D,1299.0,43.7,250.0,25.0,45.0,360.0
462,KTM,MacinaLycan(SpecialEdition),7845.0,46.8,250.0,20.0,100.0,396.0
463,EasyMotion,EvoCross+,2999.0,55.8,500.0,25.0,60.0,504.0
464,IZIP,E3Protour,3299.0,53.3,500.0,15.0,40.0,417.6
465,Orbea,Katu-E10,2999.0,51.0,250.0,30.0,60.0,396.0
466,Riese&amp;Müller,TinkerNuVinci,4489.0,54.8,250.0,25.0,75.0,396.0
467,BESV,PSA1,1999.0,43.0,250.0,20.0,45.0,381.1
468,Moustache,Samedi27Trail6,4900.0,54.0,250.0,25.0,115.0,482.4
469,Trek,SuperCommuter+8S,4999.0,52.3,250.0,18.0,92.0,482.4
470,Lapierre,OvervoltAM70THCarbon,7500.0,49.8,250.0,25.0,115.0,482.4
471,Cannondale,Moterra2,5499.0,52.4,250.0,25.0,115.0,482.4
472,Raleigh,SpriteiE,1899.0,54.2,350.0,20.0,40.0,422.4
473,EasyMotion,Evo27.5Pro,3099.0,52.8,500.0,25.0,55.0,604.8
474,Haibike,XDUROTrekkingSRX,4599.0,53.0,350.0,30.0,70.0,396.0
475,Motiv,Spark,1645.99,55.8,500.0,20.0,60.0,768.0
476,Riese&amp;Müller,HomageNuVinciHS,5799.0,62.7,350.0,25.0,100.0,482.4
477,Pedego,"24""TrailTracker",2895.0,58.6,500.0,20.0,36.0,417.6
478,Kalkhoff,AgattuB7,2499.0,53.0,250.0,35.0,65.0,396.0
479,BULLS,SIX50E1.5,3099.0,50.5,350.0,30.0,70.0,482.4
480,IZIP,E3Peak+,3099.0,51.7,350.0,30.0,65.0,396.0
481,BESV,CF1,1799.0,49.5,250.0,20.0,40.0,302.0
482,Riese&amp;Müller,ChargerGXRohloffHS,6119.0,59.5,350.0,25.0,100.0,482.4
483,VeloMini,Plus,1295.0,29.3,250.0,8.0,20.0,240.0
484,Cannondale,ControE-Rigid,3490.0,50.2,350.0,30.0,70.0,396.0
485,EasyMotion,EvoCity+,2999.0,59.0,500.0,25.0,60.0,504.0
486,Raleigh,2017DetouriE,2399.0,48.2,250.0,30.0,50.0,417.6
487,BULLS,CROSSLITEEStep-Thru,4099.0,49.2,250.0,30.0,85.0,482.4
488,eVox,KAB375,2199.0,45.0,350.0,25.0,75.0,375.0
489,Riese&amp;Müller,LoadTouringHS,6679.0,73.0,350.0,25.0,50.0,482.4
490,Haibike,XDUROFullSevenCarbonUltimate,16699.0,42.5,250.0,25.0,60.0,396.0
491,EG,Maui500EX,1999.0,56.1,500.0,20.0,40.0,499.2
492,IZIP,E3Dash,2599.0,53.0,350.0,16.0,40.0,417.6
493,Specialized,TurboVado6.0,4800.0,55.4,250.0,30.0,80.0,604.8
494,EasyMotion,ATOMLynx4.827.5Pro,4399.0,52.5,250.0,45.0,90.0,604.8
495,VoltBike,Enduro,1799.0,55.7,350.0,25.0,60.0,499.2
496,Riese&amp;Müller,RoadsterTouringHS,3919.0,50.5,350.0,25.0,50.0,482.4
497,Raleigh,2017RetroglideiE,1999.0,57.5,350.0,20.0,40.0,422.4
498,JuicedBikes,OceanCurrent,1299.0,51.0,500.0,20.0,40.0,422.4
499,Trek,Powerfly8FSPlus,4999.0,50.5,250.0,30.0,80.0,482.4
500,ElectricBikeCompany,2017ModelS,1499.0,74.7,750.0,35.0,90.0,907.2
501,Riese&amp;Müller,PacksterTouring80,5149.0,80.0,250.0,25.0,75.0,482.4
502,Yuba,SpicyCurryBosch,4499.0,63.0,250.0,30.0,60.0,396.0
503,IZIP,E3Sumo,3199.0,53.1,350.0,25.0,55.0,396.0
504,PUBLIC,D8Electric,2199.0,55.0,350.0,35.0,55.0,422.4
505,Specialized,TurboVado5.0,4600.0,55.4,250.0,30.0,80.0,604.8
506,Specialized,TurboVado3.0,3200.0,54.4,250.0,35.0,70.0,460.0
507,Raleigh,SuperbeiE,1799.0,50.2,350.0,20.0,40.0,422.4
508,BULLS,SIX50+EFS3,4699.0,52.5,350.0,30.0,70.0,482.4
509,Riese&amp;Müller,ChargerMixteGTTouringHS,4799.0,57.5,350.0,25.0,100.0,482.4
510,Gocycle,G3,4499.0,35.9,250.0,20.0,50.0,297.0
511,Pedego,PlatinumInterceptor,3795.0,61.2,500.0,25.0,70.0,480.0
